date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:59:39	200/200	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Aug%202025%2012:59:40%20GMT	https://www.greencentury.com/robots.txt		(from )
05:59:40	239851/239851	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2012:28:54%20GMT	https://www.greencentury.com/	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/index.html	(from )
05:59:41	7049/7049	---MCZ	200	added ('OK')	text/css	etag:W/%226630118b-1b89%22	https://www.greencentury.com/wp-includes/blocks/image/style.min.css?ver=6.5.4	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-includes/blocks/image/style.min380f.css	(from https://www.greencentury.com/)
05:59:42	86770/86770	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2005%20Aug%202025%2015:35:51%20GMT	https://www.greencentury.com/feed/	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/feed/index.html	(from https://www.greencentury.com/)
05:59:42	16484/16484	---MCZ	200	added ('OK')	text/css	etag:W/%226630118b-4064%22	https://www.greencentury.com/wp-includes/blocks/navigation/style.min.css?ver=6.5.4	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-includes/blocks/navigation/style.min380f.css	(from https://www.greencentury.com/)
05:59:42	0/0	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2012:59:43%20GMT	https://www.greencentury.com/events-temp/?ical=1	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/events-temp/indexedf3.html	(from https://www.greencentury.com/)
05:59:42	3860/3860	---MCZ	200	added ('OK')	text/css	etag:W/%22673e2376-f14%22	https://www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/formreset.min.css?ver=2.9.0	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/formreset.min5b0a.css	(from https://www.greencentury.com/)
05:59:43	83159/83159	---MCZ	200	added ('OK')	text/css	etag:W/%22673e2376-144d7%22	https://www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/formsmain.min.css?ver=2.9.0	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/formsmain.min5b0a.css	(from https://www.greencentury.com/)
05:59:43	30750/30750	---MCZ	200	added ('OK')	text/css	etag:W/%22673e2376-781e%22	https://www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/readyclass.min.css?ver=2.9.0	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/readyclass.min5b0a.css	(from https://www.greencentury.com/)
05:59:43	8407/8407	---MCZ	200	added ('OK')	text/css	etag:W/%22673e2376-20d7%22	https://www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/browsers.min.css?ver=2.9.0	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/gravityforms/legacy/css/browsers.min5b0a.css	(from https://www.greencentury.com/)
05:59:44	10602/10602	---MCZ	200	added ('OK')	text/css	etag:W/%226630118b-296a%22	https://www.greencentury.com/wp-includes/blocks/social-links/style.min.css?ver=6.5.4	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-includes/blocks/social-links/style.min380f.css	(from https://www.greencentury.com/)
05:59:44	655/655	---MCZ	200	added ('OK')	text/css	etag:W/%22673e30d1-28f%22	https://www.greencentury.com/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=7.3.0	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min9156.css	(from https://www.greencentury.com/)
05:59:44	8420/8420	---MCZ	200	added ('OK')	text/css	etag:W/%2266c64555-20e4%22	https://www.greencentury.com/wp-content/plugins/wp-job-manager/assets/dist/css/job-listings.css?ver=598383a28ac5f9f156e4	C:/Users/philip%20godwin/Desktop/goddy/greeninv/www.greencentury.com/wp-content/plugins/wp-job-manager/assets/dist/css/job-listings7d5b.css	(from https://www.greencentury.com/)
